Tytuł polski,Tytuł angielski,Czas (min),Nagrody MDAG,Nominacje MDAG,Kraj,Ocena Filmweb,Głosy Filmweb,Link MDAG,Link Filmweb
10k,10k,32,0,1,Francja/Hiszpania,5.8,16,https://mdag.pl/pl/ogladaj-online/23/film/10k,https://www.filmweb.pl/film/%2B10k-2025-10082313
Aborcyjna imprezka,Abortion Party,13,0,0,—,6.5,4,https://mdag.pl/pl/ogladaj-online/23/film/aborcyjna-imprezka,https://www.filmweb.pl/film/Aborcyjna+imprezka-2025-10122788
Air Horse One,Air Horse One,21,0,1,Belgia/Szwajcaria,5.9,29,https://mdag.pl/pl/ogladaj-online/23/film/blok-3-o-ludziach-i-zwierzetach-1,https://www.filmweb.pl/film/Air+Horse+One-2025-10118979
Amazomania,Amazomania,,,0,—,7.6,57,https://mdag.pl/pl/ogladaj-online/23/film/amazomania,https://www.filmweb.pl/film/Amazomania-2026-10119981
André jest idiotą,André est un idiot,,,0,—,7.9,143,,https://www.filmweb.pl/film/Andr%C3%A9+jest+idiot%C4%85-2025-10071769
Apokalipsa wczoraj dzisiaj jutro i pojutrze,Apocalypse Yesterday...,21,0,1,Czechy/Ukraina,4.9,15,https://mdag.pl/pl/ogladaj-online/23/film/blok-6-czego-pozadamy-o-czym-marzymy-1,https://www.filmweb.pl/film/Apokalipsa+wczoraj%2C+dzisiaj%2C+jutro+i+pojutrze-2025-10097169
Arek.Mama.Panorama,Arek.Mama.Panorama,,,0,—,7.8,66,,https://www.filmweb.pl/film/Arek.Mama.Panorama-2026-10119673
Atomowa kolonia,Boomerang Atomic,22,0,0,—,5.2,5,https://mdag.pl/pl/ogladaj-online/23/film/blok-5-w-pulapce-historii-1,https://www.filmweb.pl/film/Atomowa+kolonia-2025-10093427
Barbara Forever,Barbara Forever,102,0,1,USA,6.6,33,https://mdag.pl/pl/ogladaj-online/23/film/barbara-forever,https://www.filmweb.pl/film/Barbara+Forever-2026-10108003
Benita,Benita,81,0,0,USA,6.3,14,https://mdag.pl/pl/ogladaj-online/23/film/benita,https://www.filmweb.pl/film/Benita-2025-10118879
Bez końca,Without End,,,0,—,7.2,401,,https://www.filmweb.pl/film/Bez+ko%C5%84ca-2026-10081351
Białe kłamstwa,White Lies,98,0,0,—,5.6,27,https://mdag.pl/pl/ogladaj-online/23/film/biale-klamstwa,https://www.filmweb.pl/film/Bia%C5%82e+k%C5%82amstwa-2025-10122295
Bibliotekarki,The Librarians,,,0,—,7.1,128,,https://www.filmweb.pl/film/Bibliotekarki-2025-10074521
Broken English,Broken English,96,0,2,Wielka Brytania,6.3,139,https://mdag.pl/pl/ogladaj-online/23/film/broken-english,https://www.filmweb.pl/film/%C5%81amana+angielszczyzna-2025-10092246
Bugboy,Bugboy,,,0,—,7.3,84,https://mdag.pl/pl/ogladaj-online/23/film/bugboy,https://www.filmweb.pl/film/Bugboy-2026-10119394
Bujając w obłokach,Heads in the Clouds,12,0,1,Polska,5.4,23,https://mdag.pl/pl/ogladaj-online/23/film/bujajac-w-oblokach,https://www.filmweb.pl/film/Bujaj%C4%85c+w+ob%C5%82okach-2026-10118975
Był sobie śnieg,Melt,128,0,1,Austria,6.3,47,https://mdag.pl/pl/ogladaj-online/23/film/byl-sobie-snieg,https://www.filmweb.pl/film/By%C5%82+sobie+%C5%9Bnieg-2025-10103144
Ciało wojny,Body of War,,,0,—,5.7,62,,https://www.filmweb.pl/film/Cia%C5%82o+wojny-2026-10119674
Christiania,Christiania,95,0,0,—,6.9,65,https://mdag.pl/pl/ogladaj-online/23/film/christiania,https://www.filmweb.pl/film/Christiania-2026-10122259
Cisza przed burzą,Storm Alerts,82,0,0,—,5.1,13,https://mdag.pl/pl/ogladaj-online/23/film/cisza-przed-burza,https://www.filmweb.pl/film/Cisza+przed+burz%C4%85-2025-10071997
Co ukrywa Elon Musk?,Elon Musk Unveiled,90,0,0,—,6.5,86,https://mdag.pl/pl/ogladaj-online/23/film/co-ukrywa-elon-musk,https://www.filmweb.pl/film/Co+ukrywa+Elon+Musk-2025-10114914
"Coexistence, My Ass! *","Coexistence, My Ass!",95,0,0,USA/Francja,7.3,573,,https://www.filmweb.pl/film/Coexistence%2C+My+Ass-2025-10068918
Córki góry,Daughters of the Mountain,,,0,—,7.7,172,,https://www.filmweb.pl/film/C%C3%B3rki+g%C3%B3ry-2026-10111401
